Nome,Preço Cx,Preço Uni,Ifood,Categoria
Doritos Grande ,"R$ 0,00","17,00","R$ 21,66",Salgado
Doritos Medio,"R$ 0,00","7,00","R$ 8,92",Salgado
Doritos pequeno ,"R$ 0,00","5,00","R$ 6,37",Salgado
Cebolitos Grande ,"R$ 0,00","15,00","R$ 19,11",Salgado
Cebolitos ,"R$ 0,00","5,00","R$ 6,37",Salgado
Fandangos Grande,"R$ 0,00","12,00","R$ 15,29",Salgado
Fandangos ,"R$ 0,00","3,00","R$ 3,82",Salgado
Batta ruffles pequeno ,"R$ 0,00","5,00","R$ 6,37",Salgado
Batata ruffle médio ,"R$ 0,00","7,00","R$ 8,92",Salgado
Batata Ruffles grande ,"R$ 0,00","17,00","R$ 21,66",Salgado
Batata sensação pequena ,"R$ 0,00","5,00","R$ 6,37",Salgado
Batata sensação média ,"R$ 0,00","7,00","R$ 8,92",Salgado
